YEAR	PERIOD	VALUE
1875	a	953
1876	a	1086
1877	a	1143
1878	a	1195
1879	a	892
1880	a	849
1881	a	948
1882	a	1087
1883	a	1111
1884	a	947
1885	a	1068
1886	a	858
1887	a	1006
1888	a	942
1889	a	995
1890	a	1094
1891	a	831
1892	a	1130
1893	a	1147
1894	a	815
1895	a	812
1896	a	905
1897	a	936
1898	b	1252
1899	b	1257
1900	b	1238
1901	b	1283
1902	b	1245
1903	b	1262
1904	b	1207
1905	b	1284
1906	b	1233
1907	b	1294
1908	b	1282
1909	b	1256
1910	b	1205
1911	b	1219
1912	b	1227
1913	b	1284
1914	b	1256
1915	b	1295
1916	b	1299
1917	b	1207
1918	b	1230
1919	b	1247
1920	b	1281
1921	b	1238
1922	b	1229
1923	b	1268
1924	b	1242
1925	b	1233
1926	b	1294
1927	b	1276
1928	b	1258
1929	b	1246
1930	b	1233
1931	b	1297
1932	b	1229
1933	b	1279
1934	b	1258
1935	b	1236
1936	b	1262
1937	b	1292
1938	c	831
1939	c	842
1940	c	807
1941	c	888
1942	c	925
1943	c	757
1944	c	755
1945	c	909
1946	d	1517
1947	d	2993
1948	d	2288
1949	d	1132
1950	d	1755
1951	d	2880
1952	d	2483
1953	d	2593
1954	d	1535
1955	d	2358
1956	d	2113
1957	d	2702
1958	d	1271
1959	d	2781
1960	d	2636
1961	d	1846
1962	d	2348
1963	d	1799
1964	d	2577
1965	d	1581
1966	e	447
1967	e	2238
1968	e	2399
1969	e	1446
1970	e	1194
1971	e	1695
1972	e	1984
1973	e	1712
1974	e	839
1975	e	2471
1976	e	2436
1977	e	829
1978	e	1473
1979	e	2622
1980	e	1886
1981	e	1305
1982	e	1897
1983	e	1316
1984	e	2054
1985	e	997
1986	e	2875
1987	e	1636
1988	e	1377
1989	e	2568
1990	e	1125
1991	e	2562
1992	e	1654
1993	e	2245
1994	e	1970
1995	e	2468
1996	f	632
1997	f	523
1998	f	697
1999	f	299
2000	f	736
2001	f	417
2002	f	682
2003	f	459
2004	f	554
2005	f	568
2006	f	338
2007	f	689
2008	f	240
2009	f	257
2010	f	450
2011	f	478
2012	f	621
2013	f	690
2014	f	274
2015	f	792
